着順,枠,馬,馬名,性齢,斤量,騎手,タイム,着差,通過,単勝,人気,馬体重,調教師,馬主,賞金
,番,番,,,,,,,,,,,,,（万円）
1,2,2,ホーリックス,牝7,55,オサリバ,02:22.2,,3-3-3-3,19.9,9,492(0),[外]オサリバ,Ｇ．Ｗ．ド・グルシー,"10,300.00"
2,2,3,オグリキャップ,牡5,57,南井克巳,02:22.2,クビ,4-4-4-4,5.3,2,496(0),[西]瀬戸口勉,近藤俊典,"4,100.00"
3,8,14,ペイザバトラー,牡6,57,マッキャ,02:22.7,3,10-10-10-9,8.6,6,460(0),[外]フランケ,早田光一郎,"2,600.00"
4,4,6,スーパークリーク,牡5,57,武豊,02:22.7,クビ,4-4-4-5,4.6,1,524(+4),[西]伊藤修司,木倉誠,"1,500.00"
5,5,8,ホークスター,牡4,55,ベーズ,02:22.9,1,2-2-2-2,5.6,3,472(0),[外]マッカナ,Ｊ．Ｓ．メレディス,"1,030.00"
6,3,4,イブンベイ,牡6,57,クィン,02:23.2,2,1-1-1-1,7.3,4,522(0),[外]コール,ファハド・サルマン,
7,4,7,ランニングフリー,牡7,57,菅原泰夫,02:23.3,クビ,7-7-7-6,84.6,15,452(+2),[東]本郷一彦,藤島泰輔,
8,5,9,キリパワー,牡5,57,柴田善臣,02:23.5,1,14-14-14-13,37.5,11,482(+2),[東]清水利章,本桐牧場,
9,6,10,フレッシュボイス,牡7,57,的場均,02:23.5,ハナ,11-11-12-11,62.8,14,464(-6),[西]境直行,円城和男,
10,1,1,トップサンライズ,牡5,57,ヘッド,02:23.5,ハナ,15-14-14-14,25.6,10,484(0),[外]ファーブ,チャールズ・シュミット,
11,7,12,イナリワン,牡6,57,柴田政人,02:23.8,2,13-11-10-6,14,8,446(+2),[東]鈴木清,保手浜弘規,
12,8,15,アサティス,牡5,57,コクレー,02:24.0,1,8-8-8-11,7.5,5,496(0),[外]ハーウッ,原田享,
13,3,5,バンブーメモリー,牡5,57,松永昌博,02:24.2,1.1/2,9-9-8-9,48.6,13,500(0),[西]武邦彦,竹田辰一,
14,6,11,キャロルハウス,牡5,57,キネーン,02:24.9,4,6-6-6-8,8.9,7,504(0),[外]ジャービ,吉田善哉,
15,7,13,ロジータ,牝4,53,野崎武司,02:26.9,大,12-13-13-14,42.9,12,456(+4),[地]福島幸三,加藤富保,
